person_id,faction_name,gov_position
30823,ישראל ביתנו,na
30821,מרצ,na
30820,יש עתיד,na
30818,מרצ,na
30817,כחול לבן,na
30816,כחול לבן,na
30815,ישראל ביתנו,na
30814,הציונות הדתית,na
30813,העבודה,na
30812,הציונות הדתית,na
30811,הציונות הדתית,na
30810,הציונות הדתית,na
30809,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30808,העבודה,na
30807,העבודה,na
30806,העבודה,na
30805,מרצ,na
30804,"ש""ס",na
30803,הרשימה הערבית המאוחדת,na
30797,תקווה חדשה,dep_minister
30796,ישראל ביתנו,na
30791,ימינה בראשות נפתלי בנט,na
30789,ימינה בראשות נפתלי בנט,na
30788,ימינה בראשות נפתלי בנט,dep_minister
30787,ימינה בראשות נפתלי בנט,na
30786,"ח""כ יחיד - עמיחי שיקלי",na
30784,יש עתיד,na
30783,יש עתיד,na
30782,יש עתיד,na
30781,יש עתיד,na
30780,יש עתיד,na
30778,כחול לבן,na
30777,יש עתיד,na
30776,יש עתיד,na
30775,כחול לבן,na
30770,"ש""ס",na
30768,יהדות התורה והשבת - אגודת ישראל דגל התורה,na
30765,"ש""ס",na
30758,הרשימה הערבית המאוחדת,na
30752,הרשימה הערבית המאוחדת,na
30751,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)",na
30749,"ש""ס",na
30745,ישראל ביתנו,na
30743,מרצ,dep_minister
30741,ישראל ביתנו,na
30724,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30723,ישראל ביתנו,minister
30722,ישראל ביתנו,na
30721,יש עתיד,dep_minister
30720,יש עתיד,na
30719,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)",na
30718,ימינה בראשות נפתלי בנט,na
30717,עתיד אחד,na
30713,הרשימה הערבית המאוחדת,na
30708,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30707,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30706,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30705,תקווה חדשה,na
30704,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30703,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30702,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30701,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30700,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,na
30696,העבודה,na
