person_id,faction_name
30823,ישראל ביתנו
30821,מרצ
30820,יש עתיד
30818,מרצ
30817,כחול לבן
30816,כחול לבן
30815,ישראל ביתנו
30814,הציונות הדתית
30813,העבודה
30812,הציונות הדתית
30811,הציונות הדתית
30810,הציונות הדתית
30809,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30808,העבודה
30807,העבודה
30806,העבודה
30805,מרצ
30804,"ש""ס"
30803,הרשימה הערבית המאוחדת
30797,תקווה חדשה
30796,ישראל ביתנו
30791,ימינה בראשות נפתלי בנט
30789,ימינה בראשות נפתלי בנט
30788,ימינה בראשות נפתלי בנט
30787,ימינה בראשות נפתלי בנט
30786,"ח""כ יחיד - עמיחי שיקלי"
30784,יש עתיד
30783,יש עתיד
30782,יש עתיד
30781,יש עתיד
30780,יש עתיד
30778,כחול לבן
30777,יש עתיד
30776,יש עתיד
30775,כחול לבן
30770,"ש""ס"
30768,יהדות התורה והשבת - אגודת ישראל דגל התורה
30765,"ש""ס"
30758,הרשימה הערבית המאוחדת
30752,הרשימה הערבית המאוחדת
30751,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
30749,"ש""ס"
30745,ישראל ביתנו
30743,מרצ
30741,ישראל ביתנו
30724,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30723,ישראל ביתנו
30722,ישראל ביתנו
30721,יש עתיד
30720,יש עתיד
30719,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
30718,ימינה בראשות נפתלי בנט
30717,עתיד אחד
30713,הרשימה הערבית המאוחדת
30708,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30707,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30706,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30705,תקווה חדשה
30704,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30703,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30702,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30701,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30700,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30696,העבודה
30695,יש עתיד
30693,כחול לבן
30691,יש עתיד
30686,יש עתיד
30684,תקווה חדשה
30682,כחול לבן
30681,יש עתיד
30680,תקווה חדשה
30672,יהדות התורה והשבת - אגודת ישראל דגל התורה
30671,יהדות התורה והשבת - אגודת ישראל דגל התורה
30662,ימינה בראשות נפתלי בנט
30660,"ש""ס"
30601,"ש""ס"
30548,הרשימה הערבית המאוחדת
30470,"ש""ס"
30300,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30121,ישראל ביתנו
30118,תקווה חדשה
30106,העבודה
30102,יש עתיד
30083,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30082,תקווה חדשה
30077,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30070,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
30067,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
30066,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
30058,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30057,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
30055,הציונות הדתית
28513,"ש""ס"
23673,העבודה
23653,מרצ
23652,מרצ
23651,מרצ
23641,יהדות התורה והשבת - אגודת ישראל דגל התורה
23639,יש עתיד
23632,יש עתיד
23631,יש עתיד
23601,יש עתיד
23597,יש עתיד
23594,יש עתיד
23591,יש עתיד
23565,העבודה
23564,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
23560,ישראל ביתנו
23558,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
23551,הציונות הדתית
23512,ימינה בראשות נפתלי בנט
23511,ימינה בראשות נפתלי בנט
12959,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
12952,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
12951,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
12947,מרצ
12938,ישראל ביתנו
12937,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
11835,יהדות התורה והשבת - אגודת ישראל דגל התורה
4397,תקווה חדשה
4395,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
2291,"ש""ס"
2178,תקווה חדשה
1057,יהדות התורה והשבת - אגודת ישראל דגל התורה
1056,"ש""ס"
1027,תקווה חדשה
1025,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
965,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
563,יהדות התורה והשבת - אגודת ישראל דגל התורה
560,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
556,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
532,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
528,יהדות התורה והשבת - אגודת ישראל דגל התורה
526,יהדות התורה והשבת - אגודת ישראל דגל התורה
511,מרצ
477,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
468,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
467,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
427,ישראל ביתנו
